algo,file_name,sol,time_required,highest_num_c_sat,nodes_expanded,,,,,,,,,,
dpll,f0020-07-u.cnf,UNSAT,69,NA,11899,20,,,,,,,,,
dpll,f0020-01-s.cnf,SAT,18,NA,2965,20,,AVERAGES:,,,,,time_req,nodes_expanded,highest_num_c_sat
dpll,f0020-03-s.cnf,SAT,1,NA,42,20,,,DPLL,20 VARs,UNSAT,,32.75,17850.66667,
dpll,f0020-05-u.cnf,UNSAT,18,NA,4653,20,,,DPLL,20 VARs,SAT,,6.625,1375.875,
dpll,f0020-07-s.cnf,SAT,1,NA,85,20,,,WalkSAT,20 VARs,UNSAT,,406.3125,100000,83
dpll,f0020-01-u.cnf,UNSAT,35,NA,9033,20,,,WalkSAT,20 VARs,SAT,,2.8,674.7875,84
dpll,f0020-03-u.cnf,UNSAT,17,NA,4247,20,,,DPLL,40 VARs,UNSAT,,25131.25,3604908,
dpll,f0020-05-s.cnf,SAT,3,NA,811,20,,,DPLL,40 VARs,SAT,,14323.875,2210183.5,
dpll,f0020-04-u.cnf,UNSAT,24,NA,5831,20,,,WalkSAT,40 VARs,UNSAT,,669.05,100000,166.975
dpll,f0020-02-s.cnf,SAT,1,NA,40,20,,,WalkSAT,40 VARs,SAT,,89.1125,13518.125,167.975
dpll,f0020-06-u.cnf,UNSAT,28,NA,7053,20,,,,,,,,,
dpll,f0020-04-s.cnf,SAT,8,NA,1897,20,,,,,,,,,
dpll,f0020-02-u.cnf,UNSAT,31,NA,7487,20,,,,,,,,,
dpll,f0020-06-s.cnf,SAT,10,NA,2393,20,,,,,,,,,
dpll,f0020-08-s.cnf,SAT,11,NA,2774,20,,,,,,,,,
dpll,f0020-08-u.cnf,UNSAT,40,NA,10453,20,,,,,,,,,
walksat,f0020-07-u.cnf,UNSAT,418.1,83,100000,20,,,,,,,,,
walksat,f0020-01-s.cnf,SAT,4.8,84,1058.1,20,,,,,,,,,
walksat,f0020-03-s.cnf,SAT,1.8,84,407,20,,,,,,,,,
walksat,f0020-05-u.cnf,UNSAT,391.9,83,100000,20,,,,,,,,,
walksat,f0020-07-s.cnf,SAT,0.6,84,182.3,20,,,,,,,,,
walksat,f0020-01-u.cnf,UNSAT,400.3,83,100000,20,,,,,,,,,
walksat,f0020-03-u.cnf,UNSAT,402.6,83,100000,20,,,,,,,,,
walksat,f0020-05-s.cnf,SAT,0.4,84,91.9,20,,,,,,,,,
walksat,f0020-04-u.cnf,UNSAT,417.1,83,100000,20,,,,,,,,,
walksat,f0020-02-s.cnf,SAT,0,84,26,20,,,,,,,,,
walksat,f0020-06-u.cnf,UNSAT,392.1,83,100000,20,,,,,,,,,
walksat,f0020-04-s.cnf,SAT,8.8,84,2251.8,20,,,,,,,,,
walksat,f0020-02-u.cnf,UNSAT,416,83,100000,20,,,,,,,,,
walksat,f0020-06-s.cnf,SAT,4.9,84,1191.2,20,,,,,,,,,
walksat,f0020-08-s.cnf,SAT,1.1,84,190,20,,,,,,,,,
walksat,f0020-08-u.cnf,UNSAT,412.4,83,100000,20,,,,,,,,,
dpll,f0040-07-s.cnf,SAT,800,NA,159067,40,,,,,,,,,
dpll,f0040-01-u.cnf,UNSAT,19657,NA,2918083,40,,,,,,,,,
dpll,f0040-03-u.cnf,UNSAT,10740,NA,1527187,40,,,,,,,,,
dpll,f0040-05-s.cnf,SAT,1089,NA,159905,40,,,,,,,,,
dpll,f0040-07-u.cnf,UNSAT,35605,NA,5039505,40,,,,,,,,,
dpll,f0040-01-s.cnf,SAT,80530,NA,12714443,40,,,,,,,,,
dpll,f0040-03-s.cnf,SAT,625,NA,89933,40,,,,,,,,,
dpll,f0040-05-u.cnf,UNSAT,9311,NA,1329881,40,,,,,,,,,
dpll,f0040-04-s.cnf,SAT,9871,NA,1358597,40,,,,,,,,,
dpll,f0040-02-u.cnf,UNSAT,46477,NA,6606151,40,,,,,,,,,
dpll,f0040-06-s.cnf,SAT,2209,NA,336111,40,,,,,,,,,
dpll,f0040-04-u.cnf,UNSAT,13940,NA,1979353,40,,,,,,,,,
dpll,f0040-02-s.cnf,SAT,10474,NA,1526223,40,,,,,,,,,
dpll,f0040-06-u.cnf,UNSAT,56917,NA,8202365,40,,,,,,,,,
dpll,f0040-08-u.cnf,UNSAT,8403,NA,1236739,40,,,,,,,,,
dpll,f0040-08-s.cnf,SAT,8993,NA,1337189,40,,,,,,,,,
walksat,f0040-07-s.cnf,SAT,270.7,167.9,40636.3,40,,,,,,,,,
walksat,f0040-01-u.cnf,UNSAT,680.3,167,100000,40,,,,,,,,,
walksat,f0040-03-u.cnf,UNSAT,661.1,166.9,100000,40,,,,,,,,,
walksat,f0040-05-s.cnf,SAT,230.3,167.9,35242,40,,,,,,,,,
walksat,f0040-07-u.cnf,UNSAT,648.4,167,100000,40,,,,,,,,,
walksat,f0040-01-s.cnf,SAT,4.8,168,681,40,,,,,,,,,
walksat,f0040-03-s.cnf,SAT,11.7,168,1663.8,40,,,,,,,,,
walksat,f0040-05-u.cnf,UNSAT,667.4,167,100000,40,,,,,,,,,
walksat,f0040-04-s.cnf,SAT,113.4,168,17343,40,,,,,,,,,
walksat,f0040-02-u.cnf,UNSAT,668.7,167,100000,40,,,,,,,,,
walksat,f0040-06-s.cnf,SAT,9.7,168,1406,40,,,,,,,,,
walksat,f0040-04-u.cnf,UNSAT,677,167,100000,40,,,,,,,,,
walksat,f0040-02-s.cnf,SAT,19.1,168,2939.5,40,,,,,,,,,
walksat,f0040-06-u.cnf,UNSAT,668.5,167,100000,40,,,,,,,,,
walksat,f0040-08-u.cnf,UNSAT,681,166.9,100000,40,,,,,,,,,
walksat,f0040-08-s.cnf,SAT,53.2,168,8233.4,40,,,,,,,,,
