num_moves_to_randomize,num_moves_to_solve,num_nodes_created_to_solve,num_nodes_visited_to_solve,wall_time_to_solve,solve_sequence
0,0,2,2,0,
0,0,2,2,0,
0,0,2,2,0,
0,0,2,2,0,
0,0,2,2,0,
0,0,2,2,0,
0,0,2,2,0,
0,0,2,2,0,
0,0,2,2,0,
0,0,2,2,0,
1,1,15,8,0,Up-C;
1,1,15,8,0,Up-C;
1,1,15,6,0,Left-C;
1,1,15,9,1,Down-CC;
1,1,15,5,0,Back-CC;
1,1,15,6,0,Left-C;
1,1,15,5,0,Back-CC;
1,1,15,8,1,Up-C;
1,1,15,8,0,Up-C;
1,1,15,5,0,Back-CC;
2,2,40,20,1,Front-C;Left-C;
2,2,52,36,1,Up-C;Left-C;
2,2,40,26,1,Right-CC;Down-CC;
2,0,2,2,0,
2,2,52,33,1,Left-C;Back-CC;
2,0,2,2,0,
2,2,40,20,3,Front-C;Left-C;
2,2,40,21,0,Front-C;Right-CC;
2,0,2,2,0,
2,0,2,2,0,
3,3,89,67,0,Right-CC;Up-C;Up-C;
3,3,149,120,1,Left-C;Front-C;Left-C;
3,1,15,7,0,Right-CC;
3,3,137,111,1,Front-C;Up-C;Right-CC;
3,3,101,72,1,Front-C;Up-C;Front-C;
3,3,137,112,0,Back-CC;Up-C;Right-CC;
3,3,185,158,0,Right-CC;Front-C;Right-CC;
3,1,15,9,0,Down-CC;
3,3,125,102,0,Right-CC;Up-C;Right-CC;
3,3,161,137,1,Back-CC;Down-CC;Right-CC;
4,2,28,14,0,Up-C;Up-C;
4,2,40,20,0,Left-C;Front-C;
4,4,630,593,1,Front-C;Right-CC;Back-CC;Right-CC;
4,4,2754,2721,8,Down-CC;Front-C;Left-C;Up-C;
4,4,2730,2699,3,Up-C;Back-CC;Right-CC;Down-CC;
4,2,40,21,0,Back-CC;Left-C;
4,2,28,6,0,Front-C;Front-C;
4,4,918,885,1,Left-C;Up-C;Up-C;Back-CC;
4,4,990,952,1,Left-C;Up-C;Front-C;Front-C;
4,4,750,715,1,Front-C;Up-C;Front-C;Down-CC;
5,1,15,6,0,Left-C;
5,3,149,119,0,Right-CC;Front-C;Front-C;
5,1,15,8,0,Up-C;
