num_moves_to_randomize,num_moves_to_solve,num_nodes_created_to_solve,num_nodes_visited_to_solve,wall_time_to_solve,solve_sequence
0,0,2,2,1,
0,0,2,2,0,
0,0,2,2,0,
0,0,2,2,0,
0,0,2,2,0,
0,0,2,2,0,
0,0,2,2,0,
0,0,2,2,0,
0,0,2,2,0,
0,0,2,2,0,
1,1,15,4,0,Front-C;
1,1,15,8,0,Up-C;
1,1,15,8,0,Up-C;
1,1,15,4,1,Front-C;
1,1,15,8,0,Up-C;
1,1,15,7,0,Right-CC;
1,1,15,5,0,Back-CC;
1,1,15,5,1,Back-CC;
1,1,15,5,1,Back-CC;
1,1,15,8,0,Up-C;
2,2,52,37,1,Right-CC;Up-C;
2,2,40,22,0,Back-CC;Right-CC;
2,2,64,46,2,Up-C;Front-C;
2,2,40,24,2,Back-CC;Down-CC;
2,2,40,26,0,Right-CC;Down-CC;
2,2,52,33,0,Left-C;Back-CC;
2,2,40,22,1,Back-CC;Right-CC;
2,2,40,22,0,Back-CC;Right-CC;
2,2,28,14,0,Up-C;Up-C;
2,2,40,21,0,Front-C;Right-CC;
3,3,101,71,0,Front-C;Front-C;Right-CC;
3,1,15,6,0,Left-C;
3,1,15,6,0,Left-C;
3,3,149,123,0,Right-CC;Back-CC;Right-CC;
3,3,281,255,1,Up-C;Left-C;Back-CC;
3,3,197,172,0,Right-CC;Up-C;Back-CC;
3,3,269,245,0,Right-CC;Up-C;Left-C;
3,1,15,9,0,Down-CC;
3,3,101,73,0,Front-C;Front-C;Down-CC;
3,3,197,177,1,Down-CC;Right-CC;Down-CC;
4,4,2046,2017,8,Down-CC;Right-CC;Down-CC;Left-C;
4,0,2,2,0,
4,0,2,2,0,
4,4,1482,1445,1,Back-CC;Left-C;Back-CC;Right-CC;
4,2,28,10,0,Left-C;Left-C;
4,2,40,22,0,Front-C;Up-C;
4,2,40,23,0,Back-CC;Up-C;
4,0,2,2,0,
4,0,2,2,0,
4,2,64,49,0,Up-C;Right-CC;
5,3,377,353,0,Up-C;Front-C;Down-CC;
5,5,11827,11778,8,Back-CC;Right-CC;Front-C;Front-C;Left-C;
5,3,125,102,0,Down-CC;Front-C;Down-CC;
5,3,149,126,1,Left-C;Up-C;Up-C;
5,3,173,151,0,Down-CC;Back-CC;Down-CC;
5,3,101,71,1,Front-C;Front-C;Right-CC;
5,5,10027,9985,8,Left-C;Back-CC;Up-C;Back-CC;Down-CC;
5,1,15,7,0,Right-CC;
5,3,149,123,0,Right-CC;Back-CC;Right-CC;
5,5,13915,13867,17,Down-CC;Front-C;Front-C;Left-C;Front-C;
6,6,101012,100962,56,Back-CC;Down-CC;Front-C;Up-C;Up-C;Left-C;
6,4,570,531,1,Front-C;Front-C;Up-C;Back-CC;
6,2,40,23,0,Front-C;Down-CC;
6,2,52,33,0,Right-CC;Front-C;
6,6,166388,166337,70,Right-CC;Front-C;Down-CC;Left-C;Front-C;Down-CC;
6,6,178004,177954,43,Up-C;Right-CC;Back-CC;Up-C;Left-C;Left-C;
6,2,52,36,1,Down-CC;Back-CC;
6,6,158672,158625,30,Up-C;Up-C;Left-C;Down-CC;Front-C;Up-C;
